departure_hour,day_of_week,month,origin_airport,destination_airport,route_distance_km,weather_score,crew_duty_hours,historical_delay_rate,aircraft_age,gate_turnaround_mins,aircraft_type,delay_label,delay_probability,origin_encoded,destination_encoded,aircraft_encoded,is_peak_hour,is_monsoon,is_fog_season,is_peak_day,crew_risk,tight_turnaround,aging_aircraft,weather_monsoon,risk_score
19,4,11,BOM,HYD,641,1,3.0,0.21559945203362027,11,43,A321,1,0.5562,0,3,2,1,0,1,1,0,0,0,0,0.47545980821176714
23,3,6,DEL,BOM,1099,0,3.4,0.33042422429595375,12,68,A321,0,0.2822,1,0,2,0,1,0,0,0,0,0,0,0.1156484785035838
15,6,3,CCU,DEL,1309,3,7.1,0.46599404067363204,7,40,A320,1,0.9064,4,1,0,0,0,0,1,0,0,0,0,0.9830979142357712
13,1,10,BLR,BOM,803,0,4.0,0.27410254660260114,7,63,B777,0,0.1096,2,0,4,0,0,0,0,0,0,0,0,0.09593589131091039
13,0,4,BOM,BLR,844,1,5.1,0.2820068021177811,10,23,B777,1,0.4628,0,2,4,0,0,0,0,0,1,0,0,0.44870238074122337
1,1,4,MAA,BOM,978,1,5.2,0.3070443974405399,8,72,B737,0,0.3228,5,0,1,0,0,0,0,0,0,0,0,0.357465539104189
8,4,1,DEL,AMD,928,3,11.0,0.16987156815341725,11,27,A321,1,1.0,1,6,2,1,0,1,1,1,1,0,0,1.2094550488536961
9,6,10,DEL,BLR,1730,2,12.1,0.4149450674138203,1,67,B777,1,0.966,1,2,4,1,0,0,1,1,0,0,0,0.865230773594837
21,2,3,HYD,BOM,634,0,13.6,0.3048913824266084,5,33,A321,0,0.392,3,0,2,0,0,0,0,1,0,0,0,0.25671198384931293
9,3,3,BLR,HYD,512,2,7.2,0.18632755719763835,4,42,B777,1,0.6945,2,3,4,1,0,0,0,0,0,0,0,0.5652146450191734
12,6,11,BLR,BOM,880,2,9.1,0.2795633685837714,21,25,ATR72,1,0.9118,2,0,3,0,0,1,1,0,1,1,0,0.8478471790043198
19,5,11,MAA,BOM,1056,0,12.8,0.2772132249384635,20,22,A321,1,0.7609,5,0,2,1,0,1,0,1,1,1,0,0.4270246287284622
0,2,10,DEL,BLR,1733,0,3.2,0.391876421957307,9,71,A320,0,0.1568,1,2,0,0,0,0,0,0,0,0,0,0.13715674768505742
11,5,7,PNQ,BOM,71,1,2.9,0.1897740485048942,17,21,B737,1,0.7259,8,0,1,0,1,0,0,0,1,0,1,0.416420916976713
0,0,3,DEL,BLR,1691,0,6.8,0.4252893089071328,4,74,A321,0,0.1701,1,2,2,0,0,0,0,0,0,0,0,0.14885125811749647
5,4,4,DEL,GOI,1947,1,8.0,0.3090289770054408,1,78,B777,0,0.3236,1,7,4,0,0,0,1,0,0,0,0,0.42816014195190427
18,1,3,BLR,BOM,813,0,2.3,0.3440523264489604,8,58,B737,0,0.2876,2,0,1,1,0,0,0,0,0,0,0,0.12041831425713613
17,6,10,BOM,MAA,1063,0,3.3,0.36821683433294355,20,79,A320,0,0.4473,0,5,0,1,0,0,1,0,0,1,0,0.19887589201653025
11,4,5,HYD,BLR,481,1,5.4,0.1749209574612661,16,22,ATR72,1,0.52,3,2,3,0,0,0,1,0,1,0,0,0.48122233511144313
23,3,11,BOM,DEL,1169,1,9.7,0.3880686621436455,16,44,B777,1,0.6252,0,1,4,0,0,1,0,0,0,0,0,0.4658240317502759
17,1,6,AMD,DEL,874,1,3.9,0.24121792213475357,1,33,B777,1,0.6165,6,1,4,1,1,0,0,0,0,0,1,0.33442627274716374
6,2,1,HYD,BOM,602,0,7.6,0.28363326181858955,14,49,B777,0,0.1635,3,0,4,0,0,1,0,0,0,0,0,0.17927164163650633
1,4,1,HYD,BOM,597,1,12.2,0.24301852682415553,16,38,ATR72,1,0.6672,3,0,3,0,0,1,1,1,0,0,0,0.6350564843884543
16,3,12,DEL,GOI,1879,3,12.9,0.3370158700255444,9,56,B777,1,0.9348,1,7,4,0,0,1,0,1,0,0,0,1.0979555545089406
0,3,5,BOM,BLR,826,2,5.1,0.24694927466860928,10,73,B737,1,0.4988,0,2,1,0,0,0,0,0,0,0,0,0.5864322461340132
23,1,6,AMD,DEL,862,0,7.7,0.25773730719279553,17,52,A320,0,0.3031,6,1,0,0,1,0,0,0,0,0,0,0.09020805751747843
6,4,10,HYD,BLR,475,2,12.3,0.23132405525564714,7,76,ATR72,1,0.6925,3,2,3,0,0,0,1,1,0,0,0,0.8009634193394766
7,5,12,BOM,DEL,1184,0,8.5,0.3738474123018087,19,44,B737,1,0.6195,0,1,1,1,0,1,0,0,0,1,0,0.21084659430563302
19,1,6,DEL,GOI,1864,0,2.7,0.3522243260054804,21,79,ATR72,1,0.4909,1,7,3,1,1,0,0,0,0,1,0,0.12327851410191815
3,5,4,BOM,HYD,663,0,9.3,0.27260913337226617,13,49,A321,0,0.309,0,3,2,0,0,0,0,0,0,0,0,0.09541319668029315
22,1,5,BOM,PNQ,159,3,11.9,0.16959742060936978,21,20,B737,1,1.0,0,8,1,0,0,0,0,1,1,1,0,1.0593590972132794
1,5,6,BLR,HYD,497,0,13.1,0.19382705938433503,7,83,B777,0,0.4275,2,3,4,0,1,0,0,1,0,0,0,0.21783947078451726
11,1,3,BOM,BLR,880,0,2.5,0.2346002642021753,17,81,ATR72,0,0.1938,0,2,3,0,0,0,0,0,0,0,0,0.08211009247076136
15,4,7,HYD,BLR,549,0,6.6,0.17985047343973734,10,88,ATR72,0,0.1719,3,2,3,0,1,0,1,0,0,0,0,0.1329476657039081
18,1,1,CCU,DEL,1323,1,9.0,0.4743891604560757,2,51,A321,1,0.6398,4,1,2,1,0,1,0,0,0,0,0,0.4960362061596265
17,2,12,MAA,BOM,997,0,8.1,0.34414648087765254,3,84,A320,0,0.3877,5,0,0,1,0,1,0,0,0,0,0,0.20045126830717838
11,4,12,BOM,MAA,1059,0,1.5,0.3318253884337893,17,27,B777,0,0.3827,0,5,4,0,0,1,1,0,1,0,0,0.36613888595182625
18,0,7,DEL,BOM,1165,1,5.5,0.3936648151855707,4,40,B777,1,0.6775,1,0,4,1,1,0,0,0,0,0,1,0.38778268531494975
4,0,8,CCU,DEL,1318,1,10.5,0.39276897294224655,17,43,B777,1,0.8271,4,1,4,0,1,0,0,1,0,0,1,0.5374691405297863
22,0,3,DEL,AMD,869,2,7.6,0.2326457466107742,13,78,A321,1,0.5431,1,6,2,0,0,0,0,0,0,0,0,0.5814260113137709
8,2,12,MAA,BOM,973,0,13.4,0.3450607146937556,19,35,B777,1,0.658,5,0,4,1,0,1,0,1,0,1,0,0.35077125014281446
19,2,5,MAA,BOM,1064,2,11.2,0.2613464602017448,21,61,B737,1,0.9545,5,0,1,1,0,0,0,1,0,1,0,0.7414712610706107
2,6,11,DEL,BLR,1764,0,2.9,0.44615106317174724,12,36,B777,0,0.3485,1,2,4,0,0,1,1,0,0,0,0,0.30615287211011155
12,1,9,AMD,DEL,889,2,2.9,0.22133261686923927,6,27,B777,1,0.7385,6,1,4,0,1,0,0,0,1,0,2,0.6774664159042337
16,6,7,PNQ,BOM,158,1,5.6,0.16081811955831998,19,80,ATR72,1,0.5643,8,0,3,0,1,0,1,0,0,1,1,0.376286341845412
18,6,3,CCU,DEL,1299,0,7.1,0.3856303275681837,8,80,A320,0,0.3543,4,1,0,1,0,0,1,0,0,0,0,0.2049706146488643
12,3,9,BOM,BLR,857,0,2.1,0.28283701212972095,21,25,B737,0,0.4631,0,2,1,0,1,0,0,0,1,1,0,0.19899295424540234
14,4,6,DEL,AMD,924,3,2.0,0.20538542844013208,20,76,B737,1,0.8822,1,6,1,0,1,0,1,0,0,1,3,0.8918848999540463
13,6,1,DEL,GOI,1903,1,12.7,0.3045446380341458,12,35,ATR72,1,0.6918,1,7,3,0,0,1,1,1,0,0,0,0.656590623311951
3,1,8,HYD,BOM,627,0,4.5,0.25603450952052687,4,83,A321,0,0.2024,3,0,2,0,1,0,0,0,0,0,0,0.0896120783321844
8,0,5,DEL,GOI,1933,1,4.5,0.31331851252237497,3,25,B737,1,0.6253,1,7,1,1,0,0,0,0,1,0,0,0.4596614793828312
14,0,2,DEL,BLR,1699,2,12.3,0.3745218670106189,1,84,B737,1,0.7498,1,2,1,0,0,1,0,1,0,0,0,0.8610826534537166
10,4,10,DEL,GOI,1912,0,11.8,0.35690814691657474,1,20,B777,0,0.4928,1,7,4,0,0,0,1,1,1,0,0,0.44491785142080115
16,4,5,BLR,DEL,1692,1,11.0,0.44447657298824284,10,36,B777,1,0.6478,2,1,4,0,0,0,1,1,0,0,0,0.625566800545885
0,2,4,AMD,DEL,901,2,10.8,0.174689646779122,8,58,B737,1,0.6699,6,1,1,0,0,0,0,1,0,0,0,0.7111413763726927
17,3,1,BOM,BLR,848,3,2.1,0.30918178394696333,17,66,B777,1,0.9737,0,2,4,1,0,1,0,0,0,0,0,0.9382136243814371
10,2,7,DEL,BOM,1135,1,13.7,0.3608087849541885,18,49,A321,1,0.7443,1,0,2,0,1,0,0,1,0,0,1,0.526283074733966
19,0,6,DEL,BOM,1194,1,6.2,0.36220867002278734,19,24,B777,1,0.8449,1,0,4,1,1,0,0,0,1,1,1,0.4767730345079756
9,0,12,DEL,GOI,1933,0,13.7,0.3492618093992869,13,62,A321,0,0.5397,1,7,2,1,0,1,0,1,0,0,0,0.3522416332897504
10,5,8,HYD,BLR,453,0,5.5,0.2296788409906012,3,46,B777,0,0.2419,3,2,4,0,1,0,0,0,0,0,0,0.08038759434671042
18,4,5,BOM,PNQ,151,0,3.3,0.10887025337570555,1,24,A320,0,0.3935,0,8,0,1,0,0,1,0,1,0,0,0.20810458868149695
1,0,10,AMD,DEL,884,0,2.2,0.2181145394056293,15,75,A321,0,0.1372,6,1,2,0,0,0,0,0,0,0,0,0.07634008879197025
3,0,8,DEL,GOI,1948,0,3.7,0.3370472102791382,14,47,B737,0,0.2848,1,7,1,0,1,0,0,0,0,0,0,0.11796652359769837
23,2,7,AMD,DEL,842,2,7.7,0.22321134852653157,13,37,B737,1,0.7093,6,1,1,0,1,0,0,0,0,0,2,0.578123971984286
14,0,7,BOM,PNQ,97,0,5.2,0.12114480069965446,12,44,A320,0,0.3185,0,8,0,0,1,0,0,0,0,0,0,0.04240068024487906
9,2,9,BLR,BOM,812,0,8.0,0.3086841118020879,8,59,A320,0,0.3735,2,0,0,1,1,0,0,0,0,0,0,0.10803943913073075
8,4,6,CCU,DEL,1306,1,8.4,0.4156096725897846,13,89,B777,1,0.7662,4,1,4,1,1,0,1,0,0,0,1,0.46546338540642457
5,6,4,BLR,DEL,1783,0,4.7,0.3673373595294755,9,22,A321,0,0.3469,2,1,2,0,0,0,1,0,1,0,0,0.2985680758353164
3,6,6,DEL,BLR,1755,1,12.9,0.3705300006397605,17,70,A320,1,0.7982,1,2,0,0,1,0,1,1,0,0,1,0.5996855002239161
7,1,3,BOM,MAA,1009,1,3.4,0.30236792364042436,19,39,A320,1,0.6409,0,5,0,1,0,0,0,0,0,1,0,0.3558287732741485
13,5,5,BOM,DEL,1108,2,5.2,0.38938830975578986,6,69,B737,1,0.6058,0,1,1,0,0,0,0,0,0,0,0,0.6362859084145265
11,1,8,CCU,DEL,1256,0,2.8,0.38027108994143294,9,34,A321,0,0.3221,4,1,2,0,1,0,0,0,0,0,0,0.13309488147950152
4,5,12,DEL,GOI,1899,0,10.5,0.3938340456821038,12,54,A320,0,0.4575,1,7,0,0,0,1,0,1,0,0,0,0.36784191598873633
10,0,5,HYD,BOM,583,1,11.7,0.23864049867881443,19,45,ATR72,1,0.5955,3,0,3,0,0,0,0,1,0,1,0,0.483524174537585
